pop_density,dist_from_cent
18640.0,1.002
38275.0,1.403
2450.3,2.004
21969.0,2.138
9573.7,2.205
13751.0,3.608
38947.0,3.675
17921.0,4.009
5050.7,4.276
4519.0,4.410
6781.1,4.543
8246.2,4.810
5166.4,4.944
7762.4,5.211
11081.0,5.345
7188.0,5.679
13753.0,5.813
13753.0,5.813
3620.9,5.879
6390.6,6.080
5485.8,6.748
3416.5,6.882
8194.7,6.948
5091.9,6.948
1183.8,7.082
4157.9,7.416
2158.3,7.483
12428.0,7.617
6788.5,7.750
3277.4,7.750
3258.2,7.951
5491.3,8.084
865.02,11.250
340.69,13.250
507.03,15.500
323.67,18.000
108.36,19.000
805.66,23.000
156.84,26.250
